,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
45,0,533,550,NA,1,2,1,69.82723023,5,Yes,Yes,M,0,02Hi,3648.66,25,2,No,W02,0,Yes,0.041857275
46,1,620,NA,588,1,2,0,38.46740963,4,No,No,M,2,00No,8673.85,25,0,No,NA,1,No,0.239025727
47,0,498,510,500,2,4,0,66.15425809,3,No,No,A,1,02Hi,5456.07,18,0,No,W01,0,Yes,0.706494617
48,1,613,620,NA,1,1,1,22.07179746,4,No,No,P,5,00No,13880.2,27,0,Yes,W08,2,No,0.308094757
49,0,659,648,635,1,1,0,58.92577983,5,No,No,A,2,00No,7518.5,27,0,No,W02,1,Yes,0.121480187
50,1,670,632,649,0,0,0,55.14449889,7,Yes,No,M,4,01Lo,9449.89,14,0,Yes,W06,2,Yes,0.892836382
51,1,584,NA,520,1,1,1,21.10816623,6,No,Yes,A,5,00No,17076.28,21,0,Yes,W10,1,No,0.014627256
52,0,575,559,NA,1,3,1,62.12390466,5,No,No,M,2,02Hi,11859.79,12,0,No,W06,0,No,0.783121104
53,1,681,669,619,1,1,1,51.10088364,7,No,No,M,2,00No,14054.8,23,0,No,W03,0,Yes,0.070052497
54,0,600,617,587,1,1,0,39.54575112,5,No,No,M,1,00No,10709.63,11,1,No,W04,1,Yes,0.320644422
55,1,585,611,589,1,2,1,32.91692909,4,No,No,A,3,01Lo,15733.16,21,1,Yes,NA,0,Yes,0.668495397
56,1,666,667,645,2,2,1,39.6923859,5,No,No,M,4,00No,6911.13,27,0,No,W05,1,Yes,0.926400476
57,1,616,622,608,2,1,0,0.636662245,5,No,No,A,5,00No,12498.13,33,0,Yes,W08,1,No,0.142615343
58,0,666,657,598,0,1,1,24.90646664,6,No,Yes,M,1,00No,8836.9,26,0,No,W05,0,Yes,0.544269755
59,0,637,616,NA,2,3,1,51.94510327,6,No,No,M,1,02Hi,3582.42,20,0,No,W01,1,Yes,0.898580489
60,1,678,684,657,1,2,0,46.81903965,6,No,No,M,2,00No,6033.47,26,0,No,W01,1,Yes,0.31087078
61,0,566,578,562,1,1,1,49.3539868,6,No,No,A,4,01Lo,12965.72,24,0,No,W04,1,No,0.160028663
62,1,629,666,NA,0,1,1,47.99574048,4,No,No,M,2,00No,13022.26,18,2,No,W10,0,Yes,0.16639378
63,0,565,549,524,2,4,1,59.33575362,5,Yes,Yes,M,2,02Hi,8751.65,17,1,No,NA,0,Yes,0.134078195
64,0,596,550,581,1,3,1,40.91919731,4,No,No,M,1,01Lo,7253.03,28,2,No,W02,0,Yes,0.131614134
65,1,613,561,595,0,0,0,42.23717492,6,No,No,M,0,00No,8402.61,18,0,No,NA,1,Yes,0.280257776
66,1,603,609,609,0,1,1,42.02221195,5,No,No,M,3,00No,14116.68,25,0,No,W08,0,Yes,0.204196316
67,1,657,688,653,0,1,1,48.01139322,5,No,No,A,3,00No,7678.34,34,0,No,W03,1,Yes,0.133738899
68,1,627,627,624,1,2,0,51.78063367,7,No,No,M,2,02Hi,9563.98,22,1,No,W03,0,Yes,0.325681924
69,1,731,NA,687,1,2,1,49.46300148,7,No,No,M,3,00No,14178.44,22,2,No,W03,0,No,0.100769041
70,0,635,627,603,1,4,1,50.65816109,5,No,Yes,A,3,00No,8449.63,20,0,No,W01,1,No,0.219656621
71,0,575,567,542,1,3,0,50.07305254,6,Yes,Yes,M,2,02Hi,12412.03,16,2,Yes,W07,1,Yes,0.913087767
72,1,736,689,700,1,0,0,45.25278041,7,No,Yes,M,3,00No,14420.88,33,2,No,W10,0,Yes,0.915974224
73,1,626,636,654,0,3,2,44.17688009,3,No,No,A,4,00No,16966.11,21,0,Yes,W08,0,Yes,0.251545701
74,1,643,592,641,0,1,1,23.5839923,6,No,No,A,4,00No,16799.73,28,0,Yes,W09,1,No,0.503255171
75,1,767,768,744,1,1,1,60.0201106,7,No,No,M,0,00No,10660.05,25,0,No,W05,0,Yes,0.496966173
76,1,612,587,580,0,2,1,49.08437058,7,Yes,Yes,A,5,02Hi,10825.06,36,2,No,W04,0,No,0.634099368
77,1,692,695,707,0,3,0,29.0744745,8,No,No,A,2,00No,13527.45,26,0,No,W09,0,Yes,0.127433398
78,1,735,741,733,0,1,0,52.98297774,8,No,No,A,3,00No,14421.31,30,0,Yes,W09,0,No,0.91431691
79,1,629,603,635,0,1,1,32.12540752,6,No,No,M,1,00No,11554.98,22,0,No,W04,0,Yes,0.467792333
80,1,627,617,607,1,1,1,44.40292593,4,No,No,P,3,01Lo,17687.39,32,2,No,W06,0,Yes,0.869158319
81,1,691,693,658,1,3,1,60.48676863,6,Yes,No,P,4,02Hi,14549.53,20,2,Yes,W09,1,Yes,0.502749823
82,0,640,NA,628,1,4,1,45.55391923,5,No,No,M,1,01Lo,10962.23,17,2,No,W10,0,Yes,0.324386027
83,1,620,605,620,0,1,0,49.52079945,6,No,Yes,M,2,00No,9645.14,24,0,No,W09,1,Yes,0.481374949
84,1,696,640,676,1,2,0,43.61253034,7,Yes,No,A,4,02Hi,12564.7,27,0,No,W07,1,Yes,0.439042052
85,1,672,640,616,1,3,1,55.92776854,5,Yes,Yes,M,3,00No,12485.96,19,0,No,W10,0,Yes,0.228599695
86,1,685,726,NA,1,3,2,57.3839307,7,Yes,No,M,1,00No,7759.92,18,0,No,W03,0,No,0.234661262
87,1,654,645,605,0,1,1,51.38327538,7,No,No,P,1,00No,10618.28,31,0,No,W03,1,Yes,0.375599377
88,0,671,668,689,1,2,1,37.0694353,6,No,No,A,2,00No,13371.73,21,1,No,NA,1,No,0.429443963
89,1,683,645,662,1,1,1,54.59588209,7,No,No,A,3,01Lo,12971.49,22,0,No,W07,0,Yes,0.575877781
90,1,628,607,572,1,3,1,38.59072019,4,No,No,M,3,00No,12578.89,22,0,No,W07,0,Yes,0.072716094
91,1,625,644,NA,1,2,1,55.64087258,4,No,No,M,2,00No,12206.5,21,0,No,W04,0,Yes,0.708839407
92,1,771,753,736,0,1,0,27.90022517,6,No,No,A,5,00No,14228.87,41,2,No,W06,0,Yes,0.426975766
93,1,670,730,NA,0,0,0,10.79771952,6,No,No,M,5,00No,18798.31,33,0,Yes,W08,1,Yes,0.478802686
94,0,542,538,552,0,1,1,47.57699633,6,Yes,Yes,M,1,02Hi,9100.9,19,1,No,W07,0,Yes,0.60071414
95,1,672,663,632,1,2,1,53.74321111,6,No,No,P,2,00No,13979.69,25,2,No,W09,1,No,0.632442449
96,1,630,NA,612,2,2,0,34.98262463,5,No,No,M,1,00No,12484.2,20,0,No,W10,0,Yes,0.742569366
97,1,642,656,666,1,5,1,72.49184517,6,No,No,P,5,01Lo,16122.44,22,0,Yes,NA,1,No,0.128269788
98,1,647,645,613,2,3,1,63.24155208,4,Yes,No,M,4,02Hi,12634.58,16,2,No,W09,0,No,0.883239578
99,1,556,513,519,1,3,1,51.75279639,3,Yes,Yes,M,0,02Hi,10110.22,18,2,No,W01,0,Yes,0.810083388
100,0,NA,547,591,1,2,1,60.26372276,4,No,No,M,2,01Lo,11633.68,16,0,Yes,W06,0,Yes,0.821851178
101,1,625,NA,640,0,1,0,37.61257517,4,No,No,A,3,00No,15163.4,22,0,Yes,NA,1,Yes,0.732732221
102,0,701,664,637,0,1,1,43.39642794,6,No,No,M,1,00No,10746.99,24,1,No,NA,0,Yes,0.983044024
103,1,708,731,NA,0,1,0,32.25962346,7,No,No,P,5,00No,14772.46,32,0,No,W06,2,No,0.639204583
104,1,604,610,623,2,3,1,60.46387706,5,No,Yes,A,4,02Hi,13309.19,25,1,No,W01,0,Yes,0.660754634
105,1,623,637,650,1,1,1,45.47137744,5,Yes,No,M,2,01Lo,9483.45,21,1,No,W09,1,Yes,0.204402445
106,1,636,657,620,1,0,0,31.15113166,7,No,No,A,3,01Lo,13528.5,26,0,No,NA,1,No,0.985633088
107,1,572,536,510,0,0,0,35.60332579,4,No,No,M,2,00No,15438.64,23,2,Yes,W10,1,Yes,0.280375145
108,1,714,706,721,1,2,0,16.9457987,7,No,No,M,5,00No,10450.66,33,0,Yes,W08,1,Yes,0.758061396
109,1,666,629,620,2,3,1,48.29217925,6,No,No,A,2,00No,12385.3,16,0,No,W08,0,Yes,0.566781281
110,1,571,578,574,1,0,0,17.10202944,5,No,No,M,5,01Lo,12681.33,32,0,No,W06,1,Yes,0.700748134
111,1,602,586,617,0,2,1,54.36581331,6,No,No,A,4,02Hi,13913.92,21,2,No,W09,1,Yes,0.479222469
112,1,512,512,498,1,2,0,51.70853874,3,No,Yes,A,3,02Hi,9726.91,28,1,No,W03,1,No,0.031392123
113,1,637,645,649,1,2,1,74.23795527,3,Yes,No,A,3,02Hi,13278.42,31,2,Yes,W08,0,Yes,0.133549669
114,0,662,636,632,1,1,1,53.61464409,4,No,No,A,4,00No,10033.21,31,0,No,W06,1,Yes,0.499546385
115,1,684,634,661,0,1,1,45.1995388,5,No,No,P,4,00No,12854.62,30,0,No,W04,0,No,0.508920615
116,0,653,637,604,1,3,0,61.43145897,6,Yes,No,A,2,01Lo,7154.46,35,1,No,W06,0,No,0.494438562
117,1,601,602,616,0,1,1,52.92633847,5,No,No,M,3,00No,13833.56,19,0,No,W07,1,Yes,0.797052904
118,1,599,NA,573,0,2,2,52.73771289,5,Yes,No,P,5,01Lo,10660.48,24,1,Yes,W09,2,Yes,0.566958895
119,1,704,675,708,0,1,1,49.24549245,6,No,No,M,2,00No,13631.51,22,1,Yes,W07,1,Yes,0.106696818
120,0,589,NA,554,1,2,1,43.14371126,5,No,No,A,2,00No,14437.56,23,0,No,W06,0,Yes,0.807648445
121,1,724,NA,702,0,0,0,30.33558458,7,No,No,A,5,00No,20309.22,29,0,Yes,W08,1,Yes,0.749579255
122,1,648,636,651,0,0,0,42.26106425,7,No,No,A,5,00No,12407.21,25,0,Yes,W06,1,No,0.217134715
123,1,633,627,617,1,2,0,44.25160083,6,No,Yes,M,1,00No,7764.98,20,0,No,W01,1,Yes,0.477033039
124,1,645,673,NA,1,1,1,37.9848257,6,No,No,A,5,00No,20150.42,20,2,Yes,W08,2,No,0.065103244
125,1,694,664,NA,1,0,1,40.75964223,3,No,No,A,4,00No,11814.78,36,0,Yes,NA,1,Yes,0.003282331
126,1,643,649,652,1,4,1,48.68206665,5,Yes,Yes,M,1,02Hi,13119.59,24,2,No,W07,0,Yes,0.844634735
127,1,583,580,587,0,1,0,40.8080833,4,No,No,M,2,00No,12235.74,21,0,No,NA,1,Yes,0.029556814
128,1,582,583,521,1,2,1,44.0052547,4,No,No,A,2,00No,10923.36,24,0,No,W10,0,Yes,0.599769349
129,0,665,695,635,1,4,1,74.94229054,5,Yes,Yes,A,2,01Lo,13993.83,17,2,No,W07,0,Yes,0.120608904
130,1,750,713,651,1,3,1,47.4672533,5,No,Yes,M,2,00No,13210.36,18,0,No,W09,0,Yes,0.100705462
131,1,666,661,655,0,0,0,38.9623134,5,No,No,M,3,00No,10519.48,27,0,No,W07,1,No,0.015960629
132,1,636,649,626,1,1,1,60.97913869,6,No,Yes,A,2,00No,11535.76,21,0,Yes,W10,1,Yes,0.357237664
133,0,614,566,532,1,4,1,64.46781303,5,Yes,Yes,M,4,02Hi,11193.35,27,2,No,W01,0,Yes,0.758958196
134,1,631,648,672,1,3,1,30.44979831,6,No,No,P,5,01Lo,15708,31,2,No,W03,0,Yes,0.50635855
135,0,535,NA,533,1,2,1,31.9980911,4,No,No,M,0,01Lo,6966.3,18,1,No,W01,1,Yes,0.544756576
136,0,649,617,635,1,2,2,57.57794412,4,No,No,M,2,00No,11405.89,25,1,No,W01,0,No,0.344637322
137,1,664,672,666,0,3,1,44.47897335,6,No,No,M,3,00No,13106.96,27,0,No,W06,0,No,0.369175953
138,1,700,724,705,1,3,1,60.31127046,7,No,No,A,2,00No,13105.93,20,2,Yes,NA,0,No,0.918514373
139,1,665,NA,608,1,0,0,39.99664002,5,No,No,A,2,00No,13583.86,22,1,Yes,W09,2,Yes,0.737831532
140,0,NA,582,609,1,1,0,53.22207968,4,Yes,Yes,M,3,02Hi,10789.55,28,2,No,W04,1,Yes,0.280772624
141,1,627,607,631,0,0,0,43.1062472,6,No,No,M,3,00No,13517.57,27,0,No,W06,1,Yes,0.456826628
142,0,670,704,669,1,3,0,62.4387015,6,No,No,M,2,00No,9317.72,26,1,No,W02,0,No,0.287537642
143,1,690,693,676,1,2,0,30.79925272,6,No,No,A,4,00No,13869.23,20,0,Yes,W08,2,No,0.696291068
144,1,572,581,572,0,1,0,58.84515191,5,No,No,A,4,02Hi,11109.81,22,0,No,W10,0,Yes,0.820756298
145,1,759,733,759,1,1,1,43.32649736,7,No,No,A,4,00No,8704.62,19,0,No,W10,2,No,0.951829415
146,0,559,556,566,2,4,1,48.90063286,4,Yes,Yes,M,1,02Hi,8082.07,13,2,No,W02,1,Yes,0.608685027
147,1,682,679,676,0,0,0,41.85767921,5,No,No,M,2,00No,11158.73,29,1,No,W10,1,Yes,0.693667362
148,1,624,640,574,0,1,0,37.25599643,6,Yes,Yes,A,5,00No,15141.03,34,0,Yes,W08,1,Yes,0.980958316
149,0,651,678,635,1,2,1,45.45129062,6,No,No,P,1,00No,12440.37,34,2,No,W04,0,Yes,0.538882764
150,1,720,727,716,1,3,2,69.40380458,7,No,No,P,1,01Lo,13456.48,18,2,No,W03,0,Yes,0.949366778
151,1,698,665,674,1,2,0,46.31182277,5,No,No,A,1,00No,13876.99,25,2,Yes,W07,0,Yes,0.452483371
152,1,621,NA,621,0,1,0,31.59028238,4,No,No,M,3,00No,12650.38,30,1,No,W02,1,Yes,0.190625804
153,1,665,649,645,1,1,0,36.40208427,5,No,No,A,2,00No,12932.73,30,0,No,W05,0,Yes,0.548455448
154,1,645,625,621,1,2,1,52.10052333,4,No,No,A,3,00No,15768.86,23,1,No,W01,0,Yes,0.407592299
155,1,627,611,630,1,2,0,30.94587516,4,No,No,M,3,00No,13036.7,27,0,No,W06,1,Yes,0.14608279
156,1,610,NA,576,0,0,1,55.42620672,5,No,No,M,2,00No,13500.95,22,1,No,W06,1,Yes,0.192209339
157,1,593,553,576,0,0,0,53.5407123,6,No,No,A,4,00No,13769.27,26,0,No,W04,0,No,0.348221306
158,1,630,612,611,1,1,0,34.76861092,5,No,No,A,2,00No,17999.79,25,0,No,W04,0,Yes,0.834542848
159,1,659,676,651,0,1,2,61.60849482,5,No,Yes,M,1,00No,9438.52,26,2,No,W04,0,No,0.198400007
160,1,681,658,676,2,0,2,47.67980562,6,No,No,A,1,00No,8585.27,17,0,No,W03,0,Yes,0.86180531
161,1,621,581,583,1,2,1,47.21784143,4,No,No,M,2,00No,12487.4,25,1,No,NA,0,No,0.339283383
162,1,600,558,561,0,0,0,45.75172398,5,No,No,A,5,00No,13735.85,36,0,No,W10,1,Yes,0.36718044
163,1,689,652,653,0,0,0,52.2800292,5,No,No,M,2,00No,8315.35,25,0,No,W05,2,No,0.186336904
164,1,799,744,768,0,1,0,46.00706482,7,No,No,M,1,00No,12596.4,18,2,No,W06,0,Yes,0.920411381
165,0,668,599,629,0,3,0,61.48389051,7,Yes,No,A,3,02Hi,12093.79,26,2,No,W07,1,No,0.472616735
166,1,692,670,697,1,1,1,32.14143466,8,No,No,A,4,01Lo,11544.78,28,2,Yes,W09,2,Yes,0.386050656
167,1,560,574,566,1,1,0,45.68741167,5,No,No,P,5,01Lo,17577.72,25,0,No,W01,0,No,0.374165857
168,1,694,678,691,0,1,1,36.91834311,7,No,No,M,1,00No,13793.78,18,0,No,W07,0,Yes,0.410529276
169,1,596,581,574,1,2,1,47.15059317,6,No,No,P,2,01Lo,11541.07,25,0,No,W07,1,No,0.955840216
170,1,592,553,580,0,3,0,53.3427957,4,No,No,A,3,02Hi,13167.06,28,0,Yes,W06,0,Yes,0.369696486
171,1,784,713,697,0,1,1,41.63472399,7,No,No,P,5,00No,25000,24,1,Yes,W08,0,No,0.667565848
172,1,595,569,581,0,1,0,51.70992618,7,Yes,No,A,2,00No,9623.64,22,0,Yes,W06,2,No,0.920916377
173,1,683,654,669,1,1,0,35.10831441,5,No,No,M,4,01Lo,17074.03,27,2,No,W03,0,Yes,0.044989598
174,1,715,673,709,0,2,0,59.2902275,7,No,No,M,2,00No,9833.63,21,0,No,W09,1,Yes,0.130556831
175,1,737,720,714,1,0,1,30.06542486,6,No,No,M,5,00No,16902.99,31,0,Yes,W08,0,No,0.998831811
176,1,645,NA,630,0,0,1,50.56952496,6,No,No,A,5,00No,14196.56,22,0,Yes,W10,1,No,0.731295636
177,0,538,NA,501,0,2,2,63.62353457,3,Yes,No,M,2,02Hi,7425.15,22,2,No,W02,0,Yes,0.557941298
178,1,672,640,NA,0,1,1,35.12980402,6,No,Yes,M,2,00No,12402.51,25,2,No,W04,0,Yes,0.329715145
179,1,597,581,NA,0,0,0,68.00147824,3,No,No,A,2,00No,11820.89,23,1,No,W10,2,Yes,0.835475627
180,1,626,633,638,0,0,0,26.31776137,8,No,No,M,3,00No,9978.99,24,0,No,W10,1,No,0.660514947
181,1,599,599,562,0,1,0,56.27077322,4,Yes,Yes,A,2,01Lo,15439.21,28,2,Yes,W08,0,Yes,0.81920042
182,1,672,713,NA,0,0,0,32.68780499,5,No,No,M,5,00No,17522.72,30,1,No,NA,0,Yes,0.265113029
183,1,718,NA,NA,2,3,2,43.99315636,3,No,No,M,4,00No,13609.84,30,2,No,W10,0,Yes,0.759339716
184,1,634,631,656,0,1,0,48.89381779,7,No,No,M,2,00No,11735.39,24,0,Yes,W09,0,No,0.100801642
185,1,669,644,661,0,0,1,73.90931711,6,Yes,Yes,M,1,02Hi,5437.36,19,1,No,NA,0,Yes,0.42135969
186,1,609,602,NA,0,0,1,43.18874253,6,No,No,M,2,00No,10092.24,17,0,No,W07,2,Yes,0.657764248
187,1,652,621,645,1,1,0,23.82098243,5,No,No,A,5,00No,19342.75,28,1,Yes,W08,2,Yes,0.295264092
188,1,719,713,728,0,0,0,25.504153,7,No,No,P,5,00No,19984.01,28,0,Yes,W09,2,Yes,0.2059865
189,1,738,680,730,1,2,1,62.25577478,7,No,No,A,4,00No,13869.76,27,0,No,NA,0,Yes,0.002146712
190,1,600,NA,559,1,3,1,42.67277351,7,Yes,No,M,2,02Hi,15218.92,21,2,No,W10,0,Yes,0.214867022
191,0,NA,594,611,2,3,1,51.7161647,5,No,No,A,3,02Hi,12017.29,18,1,No,W10,0,Yes,0.19327223
192,1,701,688,713,0,0,1,58.20642217,6,No,No,M,2,00No,9942.61,26,0,Yes,W08,1,Yes,0.984921893
193,1,753,NA,NA,0,0,0,30.12317778,7,No,No,A,5,00No,20599.98,30,0,Yes,W08,2,No,0.739891944
194,1,725,NA,NA,2,2,1,54.45824534,6,No,No,A,2,00No,8032.69,31,0,No,W03,1,No,0.732440298
195,1,625,606,593,0,4,1,53.58430454,5,Yes,Yes,A,2,02Hi,11293.36,24,2,Yes,W06,0,Yes,0.536495635
196,1,679,639,711,1,1,0,29.09804229,6,No,Yes,M,2,00No,6131.78,30,0,No,W06,1,No,0.366399628
197,0,630,658,NA,0,3,1,53.23598813,6,No,No,A,0,00No,10071.64,23,0,No,NA,0,Yes,0.416628723
198,1,540,542,553,0,2,1,23.74840463,4,No,No,A,3,00No,12433.29,23,0,No,W03,1,Yes,0.757026246
199,1,642,612,623,1,2,0,32.21560025,8,No,No,A,4,00No,11183.49,39,0,No,W04,0,No,0.775794868
200,1,587,596,533,0,2,1,40.51450823,6,No,No,A,2,02Hi,8426.47,26,1,No,W05,0,No,0.57358702
201,1,699,NA,681,1,1,1,58.17591148,7,No,No,A,4,00No,11686.34,27,0,No,W10,0,No,0.092683093
202,1,627,NA,619,0,2,1,44.40401129,6,No,No,M,2,00No,10497.04,27,0,No,W05,0,No,0.415913202
203,1,765,767,744,1,3,0,36.8066091,7,No,No,M,2,00No,7634.95,21,0,No,W09,2,Yes,0.776510871
204,1,663,641,622,0,0,0,49.84303225,7,No,No,M,3,00No,11808.22,25,0,No,W10,1,Yes,0.96729632
205,1,691,713,682,1,2,0,35.70153361,8,No,No,A,5,00No,16529.25,25,0,Yes,W08,1,No,0.215903251
206,1,619,582,588,0,2,1,52.22470184,5,No,No,A,2,00No,12216.74,20,0,No,W02,0,No,0.867008911
207,1,594,572,582,0,1,1,40.38908513,5,No,No,A,4,00No,16430.19,22,0,No,NA,1,No,0.416918028
208,1,657,NA,639,1,3,0,33.45159999,6,No,No,A,3,00No,15241.64,29,0,No,W07,0,Yes,0.774937321
209,0,576,525,NA,1,1,1,49.26783605,7,No,No,A,1,02Hi,13940.12,30,2,No,W05,0,Yes,0.132543318
210,1,586,610,612,1,4,1,39.79439065,7,No,No,M,0,00No,9974.76,16,0,No,W03,1,Yes,0.907719767
211,0,583,533,565,0,2,1,58.61490804,5,No,No,M,2,02Hi,8821.07,22,1,No,W05,0,Yes,0.275601303
212,1,720,662,685,0,0,0,46.28811874,8,No,No,A,2,00No,11063.36,23,0,No,W10,0,Yes,0.663490542
213,1,709,681,703,1,1,0,40.53347577,8,No,No,P,5,00No,19895.89,28,1,Yes,W08,1,No,0.783896097
214,1,621,621,594,0,1,0,40.39324269,5,No,No,P,2,00No,14977.27,23,0,No,W06,2,Yes,0.439697367
215,0,603,603,588,0,0,1,39.07136209,7,No,No,A,4,01Lo,14776.38,24,0,No,W08,0,Yes,0.272207206
216,0,495,508,524,0,1,0,57.06774197,5,Yes,Yes,A,2,02Hi,10115.33,22,0,No,W07,1,Yes,0.935390777
217,1,720,NA,685,1,2,0,46.35963751,8,No,No,A,3,00No,8944.85,24,0,No,NA,1,No,0.73550093
218,1,644,630,602,0,1,0,35.38672989,5,No,Yes,A,4,00No,19184.16,27,0,No,W09,1,Yes,0.501791561
219,1,688,691,680,0,2,1,48.08856716,6,No,No,A,4,00No,11448.99,25,1,Yes,W10,2,No,0.988501473
220,1,627,619,NA,1,2,1,37.74076603,7,No,No,M,0,00No,10036.6,25,0,No,W01,0,Yes,0.879701833
221,0,NA,619,577,1,2,1,28.55353858,6,No,No,M,2,01Lo,13974.64,27,2,No,W01,0,No,0.613215532
